feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	Case_status	Case_status	-0.957473481567155	0.534885097422139	719	592	0.0739148275986694	0.295043925549886
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_faecis	Probiotic	Probiotic	1.31217790167624	0.738778046986577	719	445	0.0761808863060148	0.30153272276098
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_eligens	total_seqs_scaled	total_seqs_scaled	0.334472927904951	0.18871659826866	719	364	0.0768082534155711	0.302432497823811
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_infantis	total_seqs_scaled	total_seqs_scaled	0.108339120313479	0.061418057468168	719	50	0.0782124531929352	0.306365878828285
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Butyricicoccus.s__Butyricicoccus_pullicaecorum	Case_status	Case_status	-0.27978528572124	0.158989515360232	719	43	0.0789212263640339	0.307548696552627
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pullorum	Probiotic	Probiotic	-0.451484051641671	0.259440951545417	719	64	0.082298259996603	0.319064023371446
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pullorum	Laxatives	Laxatives	0.383882899374885	0.221134625655771	719	64	0.0830475571681717	0.320326291934376
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.s__Parabacteroides_distasonis	Laxatives	Laxatives	0.85766585968979	0.498808752502994	719	625	0.086016918335426	0.330095382038487
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia.s__Rothia_mucilaginosa	total_seqs_scaled	total_seqs_scaled	0.228288641964077	0.133702515417492	719	238	0.0882228112286528	0.331892658805385
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_finegoldii	Sleep_aid	Sleep_aid	-0.781077904949183	0.456258825544806	719	569	0.0873931350728157	0.331892658805385
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_vestibularis	Depression_anxiety_mood_med	Depression_anxiety_mood_med	0.456911907304804	0.267616603720926	719	245	0.0882413021427016	0.331892658805385
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Case_status	Case_status	-0.709398801649817	0.413831182166951	719	658	0.0869689892131116	0.331892658805385
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_copri	Case_status	Case_status	-0.786466728562987	0.462144620051302	719	259	0.0892799697257998	0.334136916399528
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_longum	Depression_anxiety_mood_med	Depression_anxiety_mood_med	-0.821065502955356	0.48314328164248	719	570	0.0897221539118518	0.334137676637241
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_sp_A12	Case_status	Case_status	-0.227809672812806	0.13450893465627	719	58	0.0908173265297971	0.336558327728072
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_reuteri	Case_status	Case_status	0.441681030816601	0.262443862837949	719	49	0.0928686193276933	0.340933542242345
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_coli	Antihistamines	Antihistamines	-0.794778208984767	0.472297088518247	719	385	0.0928998805580994	0.340933542242345
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_infantis	Sleep_aid	Sleep_aid	0.232599112374108	0.138552348076403	719	50	0.0936797433048901	0.342134714678729
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__Enterococcus_avium	total_seqs_scaled	total_seqs_scaled	0.133399959856199	0.0800727797781725	719	54	0.0962029182793302	0.344689129000823
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_paragasseri	Pain_med	Pain_med	0.377137413189384	0.226150694674221	719	57	0.0958738241159886	0.344689129000823
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__Christensenella.s__Christensenella_minuta	Do_you_drink_alcohol	Do_you_drink_alcohol	-0.350166017827361	0.209347607681902	719	99	0.0948812053885878	0.344689129000823
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes.s__Anaerostipes_hadrus	Laxatives	Laxatives	-0.860181730620898	0.514951713102001	719	520	0.0953236897540894	0.344689129000823
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_HPA0247	Pain_med	Pain_med	0.48890730700278	0.294789803117822	719	155	0.0977046014987321	0.347715514775102
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Hungatella.s__Hungatella_hathewayi	Case_status	Case_status	0.620338534825052	0.374330854824157	719	359	0.0979674664644138	0.347715514775102
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_mutans	Laxatives	Laxatives	0.559232825342586	0.339482628188961	719	205	0.099982334562043	0.351609444045436
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_limosum	Depression_anxiety_mood_med	Depression_anxiety_mood_med	0.30656421924578	0.186106820918175	719	102	0.099994749298636	0.351609444045436
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_fermentum	Sleep_aid	Sleep_aid	0.525005038798887	0.32074488277668	719	139	0.102154410288931	0.357540436011259
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Blautia_hansenii	Pain_med	Pain_med	0.633797961734645	0.38976328109881	719	137	0.104415461819093	0.362101326308414
