Sample	Input	Quality_controlled	Decontaminated	Entropy_filtered
DP167_S166_L002	39659018	29798216	29791048	29778339
DP169_S168_L002	43284700	32439732	32417916	32406641
DP170_S169_L002	34840188	26439458	26431244	26427128
DP171_S170_L002	35577042	25766862	25763386	25749600
DP172_S171_L002	38133400	28475006	28450462	28438024
DP175_S173_L002	40986400	30143436	30078452	30068363
DP176_S174_L002	46187228	34628450	34625436	34609247
DP177_S175_L002	52790866	39348656	39294094	39288421
DP178_S176_L002	40889616	30545082	30540650	30536474
DP179_S177_L002	47299678	36324418	36323454	36319084
DP180_S178_L002	35060470	23537258	23427388	23423398
DP181_S179_L002	46548718	35149462	31938214	31933814
DP183_S181_L002	38412314	28711180	28286050	28282104
DP184_S182_L002	53087510	39403668	39393110	39387846
DP185_S183_L002	41159576	31240782	31212392	31209010
DP186_S184_L002	36583026	27487472	27307594	27302936
DP187_S185_L002	40102054	28503298	28480884	28471929
DP188_S186_L002	36714996	27319378	27317266	27313420
DP189_S187_L002	42275250	30742752	30725248	30720639
DP192_S190_L002	43360338	32224042	32188094	32182696
DP193_S191_L002	37023720	27101932	27074248	27071120
DP194_S192_L002	57275438	42161656	42087440	42081002
DP195_S193_L002	46699346	34662406	34659334	34654218
DP197_S195_L002	56405624	42647962	42637658	42632829
DP198_S196_L002	51020870	37627984	37623890	37617996
DP199_S197_L002	52323320	37084404	36947962	36942603
DP200_S198_L002	44664234	32338810	32330242	32323489
DP201_S199_L002	38208818	28004716	27947636	27941564
DP202_S200_L002	42857078	30922864	29870540	29867506
DP203_S201_L002	31859260	23985620	23983176	23979891
DP204_S202_L002	49106666	36396528	36374332	36367717
DP206_S204_L002	54051926	40175190	40128478	40121105
DP207_S205_L002	39526992	29321466	29290242	29285739
DP208_S206_L002	40071382	30023994	30015654	30010481
DP211_S209_L002	41895140	30767638	30764240	30760435
DP213_S211_L002	37044808	27097632	27082370	27079493
DP218_S216_L002	39060902	28863804	28835426	28831075
DP219_S217_L002	29263602	20797052	20793474	20789729
DP220_S218_L002	39126046	28367152	28364716	28358591
DP221_S219_L002	38362654	28695126	28426420	28423284
DP222_S220_L002	43192180	32301830	32284990	32280339
DP223_S221_L002	36130372	26011688	25990512	25985574
DP224_S222_L002	37976270	28143276	28121342	28115874
DP225_S223_L002	49367788	36115838	36113222	36108651
DP226_S224_L002	31650060	23804900	23774580	23772007
DP229_S227_L002	38800456	29412962	29410246	29407279
DP231_S229_L002	39401128	29485234	29467060	29463973
DP234_S232_L002	42576486	31292694	31289602	31285467
DP236_S234_L002	37610558	27689382	27683524	27680108
DP237_S235_L002	33443966	25112164	25110128	25107392
DP239_S237_L002	40286636	29773958	29771324	29767579
DP240_S238_L002	45778128	33028960	32825102	32819915
DP241_S239_L002	32719314	24007374	24004328	24000985
DP243_S241_L002	40783544	29943836	29934084	29927354
DP244_S242_L002	36665448	27671436	27670608	27666417
DP245_S243_L002	32000640	23991802	23985328	23981760
DP246_S244_L002	34485346	26460034	26423954	26420672
DP249_S247_L002	40027196	28895050	28810154	28805528
DP250_S248_L002	33903228	25554758	25543724	25540348
DP252_S250_L002	29184144	21453906	21444584	21440983
DP253_S251_L002	47484752	35271818	35270902	35265418
DP254_S252_L002	47030250	36057900	36053806	36049064
DP255_S253_L002	45965076	34591512	34362684	34357929
DP256_S254_L003	33749490	25780870	25751238	25748193
DP258_S255_L003	32926138	24239042	24234788	24231571
DP260_S256_L003	32400600	23659022	23656948	23653538
DP261_S257_L003	29255610	21018314	21015898	21012637
DP262_S258_L003	30908288	22595568	22583618	22580792
DP263_S259_L003	32789860	24540446	24443172	24439352
DP264_S260_L003	33146260	25031208	25002866	25000287
DP265_S261_L003	34003956	25111874	25080810	25077779
DP267_S262_L003	31110088	23690150	23678994	23676449
DP269_S263_L003	33119026	24337974	24336604	24333188
DP270_S264_L003	31538622	23316994	23313046	23310178
DP271_S265_L003	31028140	22830186	22828400	22825827
DP272_S266_L003	26240988	19210466	19174590	19172438
DP273_S267_L003	31165248	22725206	22722778	22720147
DP274_S268_L003	28186588	21147976	21145910	21143605
DP275_S269_L003	32101436	23783212	23778786	23776036
DP276_S270_L003	30855790	21423866	21314508	21312071
DP277_S271_L003	36916632	27656906	27633308	27629916
DP278_S272_L003	28579832	21239950	21239540	21237150
DP279_S273_L003	28533578	21276750	21262406	21260148
DP280_S274_L003	25120662	18075350	18071176	18068566
DP281_S288_L003	30036922	22041512	22036734	22033659
DP282_S292_L003	37865722	28232782	28225746	28222683
DP284_S294_L003	44110810	32812852	32805502	32797697
DP285_S296_L003	34845868	26684228	26664884	26661891
DP287_S297_L003	25666524	19252780	19250206	19245041
DP292_S328_L003	24914222	18577740	18573086	18570018
DP293_S330_L003	36299566	27110964	27102630	27098634
