ET Within_ET_space
DC049_S210_L002 ET_F TRUE
DC048_S208_L002 ET_B TRUE
DC044_S203_L002 ET_B TRUE
DC042_S194_L002 ET_F TRUE
DC041_S189_L002 ET_P TRUE
DC039_S188_L002 ET_B TRUE
DC038_S172_L002 ET_B FALSE
DC037_S167_L002 ET_B TRUE
DC036_S162_L002 ET_B FALSE
DC035_S144_L002 ET_B FALSE
DC034_S140_L002 ET_B FALSE
DC033_S139_L002 ET_F FALSE
DC032_S133_L002 ET_B TRUE
DC029_S128_L002 ET_P TRUE
DC027_S127_L002 ET_B FALSE
DC026_S125_L001 ET_B TRUE
DC024_S124_L001 ET_B FALSE
DC023_S117_L001 ET_B FALSE
DC022_S112_L001 ET_B TRUE
DC021_S105_L001 ET_B TRUE
DC020_S104_L001 ET_P TRUE
DC019_S101_L001 ET_B TRUE
DC018_S98_L001 ET_B TRUE
DC017_S96_L001 ET_B FALSE
DC016_S92_L001 ET_B FALSE
DC015_S88_L001 ET_B TRUE
DC013_S84_L001 ET_B TRUE
DC011_S59_L001 ET_B TRUE
DC010_S56_L001 ET_B FALSE
DC009_S51_L001 ET_B FALSE
DC007_S44_L001 ET_F FALSE
DC006_S34_L001 ET_B TRUE
DC005_S33_L001 ET_P FALSE
DC004_S23_L001 ET_F TRUE
DC003_S16_L001 ET_B TRUE
DC001_S10_L001 ET_B FALSE
SP1114_UAB832_S91_L004 ET_F TRUE
SP1113_UAB832_S90_L004 ET_F FALSE
SP1112_UAB832_S89_L004 ET_B FALSE
SC0637_UAB832_S92_L004 ET_F FALSE
SC0558_UAB832_S93_L004 ET_F FALSE
DP646_UAB832_S60_L004 ET_B TRUE
DP644_UAB832_S59_L004 ET_F TRUE
DP642_UAB832_S58_L004 ET_P TRUE
DP641_UAB832_S57_L004 ET_F TRUE
DP640_UAB832_S56_L004 ET_B TRUE
DP639_UAB832_S55_L004 ET_B TRUE
DP638_UAB832_S54_L004 ET_B TRUE
DP637_UAB832_S53_L004 ET_F FALSE
DP634_UAB832_S52_L004 ET_B TRUE
DP632_UAB832_S51_L004 ET_F TRUE
DP631_UAB832_S50_L004 ET_B TRUE
DP628_UAB832_S49_L004 ET_B TRUE
DP627_UAB832_S48_L004 ET_F FALSE
DP626_UAB832_S47_L004 ET_B TRUE
DP625_UAB832_S46_L004 ET_B FALSE
DP624_UAB832_S45_L004 ET_B FALSE
DP623_UAB832_S44_L004 ET_B TRUE
DP622_UAB832_S43_L004 ET_B FALSE
DP621_UAB832_S42_L004 ET_B TRUE
DP620_UAB832_S41_L004 ET_B TRUE
DP619_UAB832_S40_L004 ET_B FALSE
DP618_UAB832_S39_L004 ET_B FALSE
DP616_UAB832_S38_L004 ET_B TRUE
DP615_UAB832_S37_L004 ET_F TRUE
DP613_UAB832_S36_L004 ET_B TRUE
DP611_UAB832_S25_L004 ET_B FALSE
DP610_UAB832_S24_L004 ET_B TRUE
DP607_UAB832_S23_L004 ET_F FALSE
DP606_UAB832_S22_L004 ET_B FALSE
DP605_UAB832_S21_L004 ET_B TRUE
DP604_UAB832_S20_L004 ET_B TRUE
DP603_UAB832_S19_L004 ET_B FALSE
DP602_UAB832_S18_L004 ET_B FALSE
DP601_UAB832_S17_L004 ET_B FALSE
DP600_UAB832_S16_L004 ET_F FALSE
DP598_UAB832_S15_L004 ET_F TRUE
DP597_UAB832_S14_L004 ET_B TRUE
DP596_UAB832_S13_L004 ET_F TRUE
DP595_UAB832_S12_L004 ET_F TRUE
DP594_UAB832_S11_L004 ET_F TRUE
DP593_UAB832_S10_L004 ET_F TRUE
DP591_UAB832_S9_L004 ET_B FALSE
DP590_UAB832_S8_L004 ET_B TRUE
DP589_UAB832_S7_L004 ET_B FALSE
DP587_UAB832_S6_L004 ET_B TRUE
DP585_UAB832_S5_L004 ET_B FALSE
DP582_UAB832_S4_L004 ET_F TRUE
DP581_UAB832_S3_L004 ET_F TRUE
DP580_UAB832_S2_L004 ET_B TRUE
DP579_UAB832_S1_L004 ET_B FALSE
DP578_UAB832_S84_L003 ET_B FALSE
DP577_UAB832_S83_L003 ET_B TRUE
DP576_UAB832_S82_L003 ET_B TRUE
DP574_UAB832_S81_L003 ET_B FALSE
DP572_UAB832_S80_L003 ET_F FALSE
DP571_UAB832_S79_L003 ET_F TRUE
DP570_UAB832_S78_L003 ET_B TRUE
DP569_UAB832_S77_L003 ET_F TRUE
DP568_UAB832_S76_L003 ET_P TRUE
DP567_UAB832_S75_L003 ET_B TRUE
DP566_UAB832_S74_L003 ET_B TRUE
DP564_UAB832_S73_L003 ET_F TRUE
DP563_UAB832_S72_L003 ET_B FALSE
DP562_UAB832_S71_L003 ET_B TRUE
DP560_UAB832_S70_L003 ET_P FALSE
DP558_UAB832_S69_L003 ET_B FALSE
DP556_UAB832_S68_L003 ET_B FALSE
DP554_UAB832_S67_L003 ET_B TRUE
DP553_UAB832_S66_L003 ET_F TRUE
DP552_UAB832_S65_L003 ET_B TRUE
DP550_UAB832_S64_L003 ET_F TRUE
DP548_UAB832_S63_L003 ET_B TRUE
DP547_UAB832_S62_L003 ET_B TRUE
DP546_UAB832_S61_L003 ET_F TRUE
DP545_UAB832_S60_L003 ET_B FALSE
DP544_UAB832_S48_L003 ET_B TRUE
DP542_UAB832_S47_L003 ET_F TRUE
DP541_UAB832_S46_L003 ET_B TRUE
DP540_UAB832_S45_L003 ET_B TRUE
DP539_UAB832_S44_L003 ET_P FALSE
DP538_UAB832_S43_L003 ET_B TRUE
DP537_UAB832_S42_L003 ET_B FALSE
DP535_UAB832_S41_L003 ET_F TRUE
DP533_UAB832_S40_L003 ET_F FALSE
DP532_UAB832_S39_L003 ET_F FALSE
DP530_UAB832_S38_L003 ET_F TRUE
DP529_UAB832_S37_L003 ET_B FALSE
DP528_UAB832_S36_L003 ET_B TRUE
DP527_UAB832_S35_L003 ET_B TRUE
DP525_UAB832V2_S96_L003 ET_B TRUE
DP524_UAB832_S34_L003 ET_F FALSE
DP523_UAB832_S33_L003 ET_F TRUE
DP520_UAB832_S32_L003 ET_B FALSE
DP518_UAB832_S31_L003 ET_B FALSE
DP516_UAB832_S30_L003 ET_B FALSE
DP515_UAB832_S29_L003 ET_B FALSE
DP514_UAB832_S28_L003 ET_B FALSE
DP513_UAB832_S27_L003 ET_B TRUE
DP511_UAB832_S26_L003 ET_F TRUE
DP509_UAB832_S25_L003 ET_B FALSE
DP508_UAB832_S17_L003 ET_F TRUE
DP507_UAB832_S16_L003 ET_B FALSE
DP506_UAB832_S15_L003 ET_F TRUE
DP504_UAB832_S14_L003 ET_B FALSE
DP503_UAB832_S13_L003 ET_B FALSE
DP502_UAB832_S12_L003 ET_B FALSE
DP501_UAB832_S11_L003 ET_F FALSE
DP500_UAB832_S10_L003 ET_F FALSE
DP499_UAB832_S9_L003 ET_F TRUE
DP498_UAB832_S8_L003 ET_B FALSE
DP497_UAB832_S7_L003 ET_B TRUE
DP495_UAB832_S6_L003 ET_F TRUE
DP494_UAB832_S5_L003 ET_F TRUE
DP493_UAB832_S4_L003 ET_F TRUE
DP492_UAB832_S3_L003 ET_F TRUE
DP491_UAB832_S2_L003 ET_F TRUE
DP490_UAB832_S1_L003 ET_B TRUE
DP489_UAB832_S91_L002 ET_B FALSE
DP488_UAB832_S90_L002 ET_B TRUE
DP486_UAB832_S89_L002 ET_B TRUE
DP485_UAB832_S88_L002 ET_B TRUE
DP483_UAB832_S87_L002 ET_F TRUE
DP480_UAB832_S86_L002 ET_F TRUE
DP478_UAB832_S85_L002 ET_F FALSE
DP477_UAB832_S84_L002 ET_F TRUE
DP476_UAB832_S72_L002 ET_B TRUE
DP474_UAB832_S71_L002 ET_B FALSE
DP473_UAB832_S70_L002 ET_B TRUE
DP472_UAB832_S69_L002 ET_B FALSE
DP470_UAB832_S68_L002 ET_B TRUE
DP469_UAB832_S67_L002 ET_B FALSE
DP467_UAB832_S66_L002 ET_B TRUE
DP466_UAB832_S65_L002 ET_B TRUE
DP464_UAB832_S64_L002 ET_B TRUE
DP463_UAB832_S63_L002 ET_B FALSE
DP460_UAB832_S62_L002 ET_B TRUE
DP459_UAB832_S61_L002 ET_P FALSE
DP458_UAB832_S60_L002 ET_B TRUE
DP456_UAB832_S59_L002 ET_B TRUE
DP455_UAB832_S58_L002 ET_B FALSE
DP454_UAB832_S57_L002 ET_F TRUE
DP453_UAB832_S56_L002 ET_B FALSE
DP452_UAB832_S55_L002 ET_B TRUE
DP451_UAB832_S54_L002 ET_B TRUE
DP450_UAB832_S53_L002 ET_B FALSE
DP449_UAB832_S52_L002 ET_B TRUE
DP448_UAB832_S51_L002 ET_B FALSE
DP447_UAB832_S50_L002 ET_B TRUE
DP446_UAB832_S49_L002 ET_P FALSE
DP445_UAB832_S48_L002 ET_F FALSE
DP444_UAB832_S37_L002 ET_P FALSE
DP443_UAB832_S36_L002 ET_B TRUE
DP441_UAB832_S35_L002 ET_F FALSE
DP440_UAB832_S34_L002 ET_B FALSE
DP439_UAB832_S33_L002 ET_F FALSE
DP438_UAB832_S32_L002 ET_F FALSE
DP437_UAB832_S31_L002 ET_B TRUE
DP436_UAB832_S30_L002 ET_B TRUE
DP434_UAB832_S29_L002 ET_B TRUE
DP432_UAB832_S28_L002 ET_B FALSE
DP431_UAB832_S27_L002 ET_B TRUE
DP430_UAB832_S26_L002 ET_F FALSE
DP428_UAB832_S25_L002 ET_B FALSE
DP427_UAB832_S24_L002 ET_B FALSE
DP424_UAB832_S23_L002 ET_F TRUE
DP423_UAB832_S22_L002 ET_F FALSE
DP422_UAB832_S21_L002 ET_B TRUE
DP420_UAB832_S20_L002 ET_B FALSE
DP419_UAB832_S19_L002 ET_F FALSE
DP418_UAB832_S18_L002 ET_B TRUE
DP416_UAB832_S17_L002 ET_B TRUE
DP415_UAB832_S16_L002 ET_F FALSE
DP414_UAB832_S15_L002 ET_B TRUE
DP413_UAB832_S14_L002 ET_B TRUE
DP412_UAB832_S13_L002 ET_P FALSE
DP409_UAB832_S11_L002 ET_F TRUE
DP408_UAB832_S10_L002 ET_B TRUE
DP407_UAB832_S9_L002 ET_B TRUE
DP406_UAB832_S8_L002 ET_B FALSE
DP405_UAB832_S7_L002 ET_F FALSE
DP404_UAB832_S6_L002 ET_B TRUE
DP402_UAB832_S5_L002 ET_F TRUE
DP401_UAB832_S4_L002 ET_B TRUE
DP400_UAB832_S3_L002 ET_B TRUE
DP399_UAB832_S2_L002 ET_B TRUE
DP398_UAB832_S1_L002 ET_B TRUE
DP397_UAB832_S84_L001 ET_B FALSE
DP396_UAB832_S83_L001 ET_B FALSE
DP394_UAB832_S82_L001 ET_B FALSE
DP393_UAB832_S81_L001 ET_F FALSE
DP392_UAB832_S80_L001 ET_B TRUE
DP391_UAB832_S79_L001 ET_F FALSE
DP389_UAB832_S78_L001 ET_F TRUE
DP385_UAB832_S77_L001 ET_P TRUE
DP384_UAB832_S76_L001 ET_F FALSE
DP383_UAB832_S75_L001 ET_F TRUE
DP382_UAB832_S74_L001 ET_B FALSE
DP381_UAB832_S73_L001 ET_B FALSE
